SubType,Method,Pre.Energy,Pre.Contrast,Pre.Homogeneity,Pre.Entropy,Pre.Correlation,Pre.I,Pre.SD,Pre.Kurtosis,Pre.Skewness,Post1.Energy,Post1.Contrast,Post1.Homogeneity,Post1.Entropy,Post1.Correlation,Post1.I,Post1.SD,Post1.Kurtosis,Post1.Skewness,Post2.Energy,Post2.Contrast,Post2.Homogeneity,Post2.Entropy,Post2.Correlation,Post2.I,Post2.SD,Post2.Kurtosis,Post2.Skewness,Post3.Energy,Post3.Contrast,Post3.Homogeneity,Post3.Entropy,Post3.Correlation,Post3.I,Post3.SD,Post3.Kurtosis,Post3.Skewness
1,GCGMM,0.066,49.019,0.373,0.365,0.492,133.945,31.795,3.692,-0.612,0.064,48.123,0.363,0.380,0.469,144.353,37.887,2.715,-0.021,0.064,44.826,0.364,0.377,0.491,135.050,30.921,2.973,0.048,0.064,46.840,0.363,0.385,0.475,147.173,33.317,2.553,0.249
1,GCGMM,0.046,62.284,0.255,0.210,0.352,142.415,47.128,2.309,0.105,0.045,66.266,0.270,0.211,0.303,146.266,44.678,2.659,0.107,0.045,68.372,0.269,0.211,0.291,147.200,41.554,3.024,-0.013,0.046,67.951,0.275,0.199,0.295,143.771,40.873,2.862,0.120
1,GCGMM,0.061,57.707,0.409,0.292,0.501,147.642,15.877,5.638,0.098,0.057,51.982,0.375,0.384,0.528,153.825,39.760,2.542,-0.357,0.057,58.194,0.378,0.388,0.476,147.822,26.980,3.287,0.169,0.057,61.172,0.371,0.392,0.457,156.187,27.238,3.092,0.296
1,GCGMM,0.056,56.367,0.278,0.193,0.360,155.967,48.154,2.461,-0.397,0.056,63.164,0.280,0.188,0.365,160.307,49.765,2.291,-0.342,0.057,61.443,0.289,0.186,0.369,166.063,49.133,2.193,-0.362,0.057,59.191,0.284,0.185,0.366,157.728,46.127,2.325,-0.434
1,GCGMM,0.064,58.431,0.396,0.361,0.511,176.430,23.854,4.504,-0.654,0.063,49.034,0.397,0.415,0.535,157.870,33.650,2.831,-0.390,0.061,39.301,0.348,0.515,0.523,111.630,45.560,2.725,-0.232,0.063,54.380,0.397,0.406,0.514,165.025,30.954,3.202,-0.380
1,GCGMM,0.074,40.016,0.425,0.568,0.619,159.836,37.826,4.607,-1.168,0.073,37.187,0.429,0.622,0.580,120.881,33.437,3.012,-0.075,0.074,38.300,0.435,0.605,0.579,129.037,32.002,3.251,-0.126,0.075,38.318,0.441,0.591,0.580,130.904,30.504,3.455,-0.124
1,GCGMM,0.069,44.545,0.428,0.409,0.600,172.351,32.943,4.164,-1.086,0.066,40.935,0.413,0.484,0.597,159.955,35.189,2.253,0.002,0.067,44.244,0.414,0.464,0.592,171.295,35.031,2.375,-0.281,0.068,46.625,0.425,0.439,0.590,167.895,31.546,2.699,-0.460
1,GCGMM,0.130,42.575,0.355,0.292,0.381,127.802,39.873,3.266,0.259,0.131,45.165,0.359,0.294,0.394,137.354,45.119,2.686,0.478,0.130,49.885,0.356,0.294,0.394,145.029,43.912,2.530,0.381,0.130,53.498,0.356,0.290,0.390,150.854,42.243,2.463,0.276
1,GCGMM,0.070,41.385,0.439,0.427,0.604,159.617,30.555,3.232,-0.429,0.069,38.816,0.411,0.511,0.581,147.580,34.919,2.853,0.118,0.069,40.898,0.415,0.508,0.571,140.918,33.487,2.863,0.194,0.069,41.338,0.423,0.490,0.566,140.367,32.852,2.841,0.263
1,GCGMM,0.137,27.628,0.482,0.615,0.669,157.642,43.531,2.179,-0.336,0.137,28.074,0.477,0.645,0.652,135.922,40.910,2.476,-0.218,0.137,29.353,0.480,0.636,0.646,143.546,41.279,2.562,-0.314,0.137,30.072,0.482,0.628,0.646,149.756,42.274,2.593,-0.363
-1,GCGMM,0.074,39.080,0.362,0.346,0.453,127.764,47.580,2.958,-0.092,0.074,36.564,0.365,0.353,0.501,137.193,43.727,2.897,-0.229,0.075,40.893,0.373,0.331,0.482,142.918,38.183,3.781,-0.087,0.074,43.290,0.369,0.344,0.481,155.391,43.424,3.463,-0.410
-1,GCGMM,0.064,60.841,0.494,0.240,0.538,203.411,23.761,7.849,-1.489,0.057,54.109,0.442,0.337,0.570,195.985,35.466,1.978,-0.440,0.061,60.143,0.471,0.275,0.548,201.405,27.340,3.059,-0.829,0.060,61.866,0.476,0.269,0.538,201.554,22.376,3.701,-0.799
-1,GCGMM,0.040,97.101,0.179,0.098,0.152,159.350,43.811,3.083,-0.057,0.038,76.355,0.195,0.108,0.195,116.330,57.231,2.344,0.431,0.039,86.479,0.188,0.108,0.178,125.436,55.756,2.577,0.385,0.039,90.459,0.172,0.108,0.156,127.528,52.604,2.706,0.341
